Restricted API,Highly-Correlation API,Sensitive Operation API,Union
android.provider.ContactsContract set,android.telephony.SmsManager sendTextMessage,java.lang.Runtime getRuntime,android.accounts.AccountManager addAccount
android.provider.Browser updateVisitedHistory,android.telephony.SmsManager getDefault,java.lang.Runtime exec,android.accounts.AccountManager addOnAccountsUpdatedListener
android.location.LocationManager sendExtraCommand,android.telephony.SmsManager sendDataMessage,java.lang.ProcessBuilder start,android.accounts.AccountManager blockingGetAuthToken
android.provider.Browser addSearchUrl,android.net.wifi.WifiManager setWifiEnabled,java.lang.Runtime load,android.accounts.AccountManager confirmCredentials
android.location.LocationManager requestLocationUpdates,android.telephony.TelephonyManager getLine1Number,java.lang.Runtime loadLibrary,android.accounts.AccountManager editProperties
android.net.sip.SipManager createSipSession,java.io.DataInputStream readLine,android.os.Environment getDataDirectory,android.accounts.AccountManager getAccounts
android.location.LocationManager addNmeaListener,android.telephony.SmsMessage createFromPdu,android.os.Environment getDownloadCacheDirectory,android.accounts.AccountManager getAccountsByType
android.telephony.SmsManager divideMessage,java.security.InvalidAlgorithmParameterException printStackTrace,android.os.Environment getExternalStorageDirectory,android.accounts.AccountManager getAccountsByTypeAndFeatures
android.net.sip.SipManager register,android.net.Proxy getDefaultPort,android.os.Environment getExternalStoragePublicDirectory,android.accounts.AccountManager getAuthToken
android.location.LocationManager getProvider,java.security.Key getEncoded,android.os.Environment getRootDirectory,android.accounts.AccountManager getAuthTokenByFeatures
android.telephony.TelephonyManager getCellLocation,android.net.Proxy getDefaultHost,android.os.storage.StorageManager getPrimaryStorageVolume,android.accounts.AccountManager getAuthTokenLabel
android.provider.ContactsContract getContactLookupUri,android.telephony.TelephonyManager getSimSerialNumber,android.os.storage.StorageManager getStorageVolumes,android.accounts.AccountManager hasFeatures
android.telephony.TelephonyManager getDeviceSoftwareVersion,android.app.Application onCreate,java.io.File createNewFile,android.accounts.AccountManager removeAccount
android.app.DownloadManager getUriForDownloadedFile,android.content.IntentFilter setPriority,java.io.File delete,android.accounts.AccountManager updateCredentials
android.provider.Browser deleteHistoryTimeFrame,javax.crypto.IllegalBlockSizeException printStackTrace,java.io.File listFiles,android.app.ActivityManager getRunningAppProcesses
android.telephony.PhoneNumberUtils isVoiceMailNumber,javax.crypto.BadPaddingException printStackTrace,java.io.File list,android.app.ActivityManager getRunningServices
android.speech.SpeechRecognizer cancel,android.telephony.TelephonyManager getSubscriberId,java.io.File mkdir,android.app.ActivityManager getRunningTasks
android.provider.ContactsContract markAsContacted,org.xmlpull.v1.XmlSerializer text,java.io.File renameTo,android.app.ActivityManager killBackgroundProcesses
android.telephony.TelephonyManager getSubscriberId,java.security.cert.CertificateEncodingException printStackTrace,java.io.FileWriter write,android.app.AlertDialog AlertDialog
android.telephony.gsm.SmsManager sendTextMessage,java.lang.Process waitFor,java.io.FileOutputStream write,android.app.AlertDialog onCreate
android.telephony.TelephonyManager getGroupIdLevel1,android.telephony.SmsMessage getOriginatingAddress,android.database.sqlite.SQLiteDatabase create,android.app.Application Application
android.provider.ContactsContract notifyDirectoryChange,android.net.wifi.WifiManager getConfiguredNetworks,android.database.sqlite.SQLiteDatabase delete,android.app.Application attachBaseContext
android.provider.Contacts setSetting,java.lang.Process getOutputStream,android.database.sqlite.SQLiteDatabase deleteDatabase,android.app.Application getDir
android.accounts.AccountManager editProperties,android.telephony.SmsMessage getMessageBody,android.database.sqlite.SQLiteDatabase execSQL,android.app.Application onCreate
android.widget.QuickContactBadge assignContactFromEmail,javax.crypto.spec.DESKeySpec DESKeySpec,android.database.sqlite.SQLiteDatabase insert,android.app.Dialog dispatchKeyEvent
android.net.sip.SipManager open,java.net.URISyntaxException getCause,android.database.sqlite.SQLiteDatabase insertWithOnConflict,android.app.Dialog setOnKeyListener
android.accounts.AccountManager addAccount,android.webkit.WebSettings getMinimumFontSize,android.database.sqlite.SQLiteDatabase query,android.app.DownloadManager addCompletedDownload
android.provider.Contacts markAsContacted,java.util.concurrent.FutureTask done,android.database.sqlite.SQLiteDatabase rawQuery,android.app.DownloadManager enqueue
android.provider.Browser deleteFromHistory,java.io.BufferedInputStream reset,android.database.sqlite.SQLiteDatabase updateWithOnConflict,android.app.DownloadManager getUriForDownloadedFile
android.accounts.AccountManager blockingGetAuthToken,java.io.BufferedInputStream mark,android.database.sqlite.SQLiteDatabase update,android.app.Instrumentation callActivityOnNewIntent
